obs,datetime
0.0,2007-10-28
0.0,2007-10-29
0.0,2007-10-30
0.0,2007-10-31
0.0,2007-01-11
0.0,2007-02-11
0.0,2007-03-11
0.0,2007-04-11
0.0,2007-05-11
0.0,2007-06-11
0.0,2007-07-11
0.0,2007-08-11
0.0,2007-11-11
0.0,2007-12-11
0.0,2007-11-13
0.0,2007-11-14
0.0,2007-11-15
0.0,2007-11-16
0.0,2007-11-17
0.0,2007-11-18
0.0,2007-11-19
0.0,2007-11-20
0.0,2007-11-21
0.0,2007-11-22
0.0,2007-11-23
0.0,2007-11-24
0.0,2007-11-25
0.0,2007-11-26
0.0,2007-11-27
0.0,2007-11-28
0.0,2007-11-29
0.0,2007-11-30
0.0,2007-01-12
0.0,2007-02-12
0.0,2007-03-12
0.0,2007-04-12
0.0,2007-05-12
0.0,2007-06-12
0.0,2007-08-12
0.0,2007-09-12
0.0,2007-10-12
0.0,2007-11-12
0.0,2007-12-12
0.0,2007-12-13
0.0,2007-12-14
0.0,2007-12-15
0.0,2007-12-16
0.0,2007-12-17
0.0,2007-12-18
0.0,2007-12-19
0.0,2007-12-20
0.0,2007-12-21
0.0,2007-12-22
0.0,2007-12-23
0.0,2007-12-24
0.0,2007-12-25
0.0,2007-12-26
0.0,2007-12-27
0.0,2007-12-28
0.0,2007-12-29
0.0,2007-12-30
0.0,2007-12-31
0.0,2008-01-01
0.0,2008-02-01
0.0,2008-03-01
0.0,2008-04-01
0.0,2008-05-01
0.0,2008-06-01
0.0,2008-07-01
0.0,2008-08-01
0.0,2008-09-01
0.0,2008-10-01
0.0,2008-11-01
0.0,2008-12-01
0.0,2008-01-13
0.0,2008-01-14
0.0,2008-01-15
0.0,2008-01-16
0.0,2008-01-17
0.0,2008-01-18
0.0,2008-01-19
0.0,2008-01-20
0.0,2008-01-21
0.0,2008-01-22
0.0,2008-01-23
0.0,2008-01-24
0.54,2008-01-25
17.72,2008-01-26
16.5,2008-01-27
0.0,2008-01-28
0.0,2008-01-29
0.0,2008-01-30
0.0,2008-01-31
0.0,2008-01-02
0.0,2008-02-02
0.0,2008-03-02
0.0,2008-04-02
2.92,2008-05-02
0.0,2008-06-02
0.0,2008-07-02
0.0,2008-08-02
0.0,2008-09-02
0.0,2008-10-02
0.0,2008-11-02
0.2,2008-12-02
0.0,2008-02-13
0.0,2008-02-14
0.0,2008-02-15
0.0,2008-02-16
0.0,2008-02-17
0.0,2008-02-18
0.0,2008-02-19
0.0,2008-02-20
0.0,2008-02-21
0.0,2008-02-22
0.0,2008-02-23
0.0,2008-02-24
0.0,2008-02-25
0.0,2008-02-26
0.0,2008-02-27
0.0,2008-02-28
0.0,2008-02-29
0.0,2008-01-03
0.0,2008-02-03
0.0,2008-03-03
0.0,2008-04-03
0.0,2008-05-03
0.0,2008-06-03
0.0,2008-07-03
0.0,2008-08-03
0.0,2008-09-03
0.0,2008-10-03
0.0,2008-11-03
0.0,2008-12-03
0.0,2008-03-13
0.0,2008-03-14
0.0,2008-03-15
0.0,2008-03-16
0.0,2008-03-17
