idates,imonths,iyears,obs,meanmod,stdmod
3,1,2007,0.0,0.0,0.0
4,1,2007,0.0,0.0,0.0
5,1,2007,0.0,0.0,0.0
6,1,2007,0.0,0.0,0.0
7,1,2007,0.0,0.0,0.0
8,1,2007,0.0,0.0,0.0
9,1,2007,0.0,0.0,0.0
10,1,2007,0.0,0.0,0.0
11,1,2007,0.0,0.0,0.0
12,1,2007,0.0,0.0,0.0
13,1,2007,0.0,0.0,0.0
14,1,2007,0.0,0.0,0.0
15,1,2007,0.0,0.0,0.0
16,1,2007,0.0,0.0,0.01
17,1,2007,0.0,0.01,0.01
18,1,2007,0.0,0.0,0.0
19,1,2007,0.0,0.0,0.0
20,1,2007,0.0,0.0,0.0
21,1,2007,0.0,0.0,0.0
22,1,2007,0.0,0.0,0.0
23,1,2007,0.0,0.0,0.0
24,1,2007,0.0,0.0,0.0
25,1,2007,0.0,0.0,0.0
26,1,2007,0.0,0.0,0.0
27,1,2007,0.0,0.0,0.0
28,1,2007,0.0,0.0,0.0
29,1,2007,0.0,0.0,0.0
30,1,2007,0.0,0.0,0.0
31,1,2007,0.0,0.0,0.0
1,2,2007,0.0,0.0,0.0
2,2,2007,0.0,0.0,0.01
3,2,2007,0.0,0.0,0.01
4,2,2007,0.0,0.21,0.31
5,2,2007,0.0,0.01,0.02
6,2,2007,0.0,0.0,0.0
7,2,2007,0.0,0.02,0.07
8,2,2007,0.0,0.01,0.09
9,2,2007,0.0,0.0,0.0
10,2,2007,0.0,0.02,0.03
11,2,2007,0.0,0.0,0.01
12,2,2007,0.0,3.21,2.24
13,2,2007,0.0,9.61,2.44
14,2,2007,0.0,0.09,0.14
15,2,2007,0.0,0.0,0.0
16,2,2007,0.0,0.15,0.48
17,2,2007,0.0,0.0,0.02
18,2,2007,0.0,0.0,0.01
19,2,2007,0.0,0.0,0.0
20,2,2007,0.0,0.0,0.0
21,2,2007,0.0,0.0,0.0
22,2,2007,0.0,0.0,0.0
23,2,2007,0.0,0.0,0.0
24,2,2007,0.0,0.0,0.0
25,2,2007,0.0,0.02,0.06
26,2,2007,0.0,0.0,0.0
27,2,2007,0.0,0.0,0.0
28,2,2007,0.0,0.0,0.01
1,3,2007,2.27,0.07,0.16
2,3,2007,0.0,0.0,0.0
3,3,2007,0.0,0.0,0.0
4,3,2007,0.0,0.0,0.0
5,3,2007,0.0,0.0,0.0
6,3,2007,0.0,0.0,0.0
7,3,2007,0.0,0.0,0.0
8,3,2007,0.0,0.0,0.0
9,3,2007,0.0,3.18,1.88
10,3,2007,0.1,4.07,2.46
11,3,2007,0.0,0.93,0.98
12,3,2007,0.58,3.21,1.79
13,3,2007,0.86,1.98,1.27
14,3,2007,0.22,0.55,0.65
15,3,2007,0.0,0.04,0.14
16,3,2007,0.0,0.0,0.0
17,3,2007,0.0,0.0,0.0
18,3,2007,0.0,0.0,0.0
19,3,2007,0.0,0.0,0.0
20,3,2007,0.0,0.0,0.0
21,3,2007,0.0,0.01,0.06
22,3,2007,0.0,0.66,0.27
23,3,2007,0.0,0.0,0.0
24,3,2007,0.0,0.0,0.0
25,3,2007,0.0,0.0,0.0
26,3,2007,0.0,0.0,0.0
27,3,2007,0.0,0.0,0.0
28,3,2007,0.0,0.0,0.0
29,3,2007,0.0,0.0,0.0
30,3,2007,0.0,0.0,0.0
31,3,2007,0.0,0.0,0.0
1,4,2007,0.0,0.0,0.0
2,4,2007,0.0,0.0,0.0
3,4,2007,0.0,0.0,0.0
4,4,2007,0.0,0.01,0.07
5,4,2007,0.0,0.02,0.07
6,4,2007,0.0,0.01,0.05
7,4,2007,0.0,0.22,0.32
8,4,2007,0.0,0.48,0.37
9,4,2007,0.0,1.45,0.64
10,4,2007,0.0,0.22,0.21
11,4,2007,0.0,1.18,0.64
12,4,2007,0.0,0.83,0.42
13,4,2007,0.0,0.32,0.29
14,4,2007,0.0,0.71,0.42
15,4,2007,0.0,2.28,1.13
16,4,2007,0.0,2.1,1.19
17,4,2007,0.0,2.05,1.59
18,4,2007,0.0,2.92,1.36
19,4,2007,0.0,5.71,2.96
20,4,2007,0.0,5.48,1.49
21,4,2007,0.0,1.18,0.44
22,4,2007,0.0,0.24,0.22
23,4,2007,0.0,0.09,0.09
24,4,2007,0.0,0.01,0.02
25,4,2007,0.0,0.0,0.0
26,4,2007,0.0,0.01,0.04
27,4,2007,0.0,0.05,0.07
28,4,2007,0.0,0.01,0.04
29,4,2007,0.0,0.25,0.3
30,4,2007,0.0,1.15,0.81
1,5,2007,1.75,3.63,1.78
2,5,2007,0.0,6.59,3.58
3,5,2007,0.0,6.35,2.08
4,5,2007,0.0,5.1,1.8
5,5,2007,26.14,4.12,2.23
6,5,2007,0.0,2.39,1.61
7,5,2007,0.0,3.27,1.74
8,5,2007,0.0,2.19,1.85
9,5,2007,0.45,0.46,0.5
10,5,2007,0.0,0.4,0.48
11,5,2007,0.0,0.28,0.42
12,5,2007,0.0,1.73,0.92
13,5,2007,0.0,1.38,0.93
14,5,2007,0.0,1.47,1.07
15,5,2007,0.0,0.71,0.54
16,5,2007,0.0,0.57,0.43
17,5,2007,0.0,1.31,1.71
18,5,2007,5.26,0.85,0.62
19,5,2007,0.92,0.91,0.56
20,5,2007,0.0,0.52,0.42
21,5,2007,0.0,0.36,0.22
22,5,2007,0.0,0.22,0.24
23,5,2007,0.0,0.0,0.0
24,5,2007,0.0,0.0,0.0
25,5,2007,0.0,0.03,0.08
26,5,2007,0.0,0.08,0.15
27,5,2007,0.0,0.18,0.23
28,5,2007,0.0,0.05,0.15
29,5,2007,0.0,0.15,0.21
30,5,2007,0.0,0.28,0.36
31,5,2007,0.0,1.48,0.85
1,6,2007,0.0,0.96,0.79
2,6,2007,0.0,0.79,0.52
3,6,2007,0.0,0.76,0.41
4,6,2007,0.0,0.35,0.32
5,6,2007,0.0,1.23,2.31
6,6,2007,0.0,0.7,0.67
7,6,2007,0.0,1.81,1.29
8,6,2007,0.0,2.89,1.78
9,6,2007,0.0,6.3,2.62
10,6,2007,0.0,9.03,4.08
11,6,2007,9.29,3.0,2.28
12,6,2007,4.36,2.68,2.02
13,6,2007,20.2,5.49,3.17
14,6,2007,18.46,24.8,42.82
17,6,2007,0.2,3.35,2.52
18,6,2007,13.89,3.52,2.63
19,6,2007,7.99,10.95,4.14
20,6,2007,0.0,8.83,4.05
23,6,2007,4.67,5.95,3.82
27,6,2007,68.39,20.18,8.01
28,6,2007,20.39,21.92,7.74
29,6,2007,17.07,62.12,39.58
30,6,2007,80.68,47.65,52.12
1,7,2007,1.68,4.53,7.69
5,7,2007,0.58,1.47,1.75
6,7,2007,0.0,17.94,35.89
7,7,2007,14.15,29.2,30.71
8,7,2007,1.26,5.87,9.75
9,7,2007,4.48,1.13,1.6
10,7,2007,9.72,3.38,3.51
11,7,2007,0.0,3.03,2.76
12,7,2007,0.0,6.07,1.93
13,7,2007,22.14,5.14,2.78
14,7,2007,52.72,8.57,10.59
15,7,2007,29.12,29.11,73.79
16,7,2007,45.24,33.05,38.99
17,7,2007,1.17,4.89,5.93
18,7,2007,2.52,0.73,0.73
19,7,2007,1.68,0.51,0.9
20,7,2007,3.82,3.74,2.3
21,7,2007,10.31,5.26,2.83
22,7,2007,1.05,6.72,3.52
23,7,2007,5.44,9.61,4.29
24,7,2007,0.0,4.41,2.88
25,7,2007,0.0,3.9,2.69
26,7,2007,0.0,7.37,3.94
27,7,2007,0.0,10.18,4.15
28,7,2007,1.47,9.59,5.88
29,7,2007,0.0,12.75,10.87
30,7,2007,3.03,6.4,3.25
31,7,2007,0.0,7.05,4.47
1,8,2007,0.0,7.46,3.94
2,8,2007,8.88,11.76,8.06
3,8,2007,5.12,28.73,28.41
4,8,2007,0.72,10.79,7.24
5,8,2007,0.0,13.21,15.38
6,8,2007,93.74,30.67,35.61
7,8,2007,130.81,71.23,54.69
8,8,2007,1.47,3.38,3.04
9,8,2007,0.0,2.76,3.11
10,8,2007,0.0,2.63,2.2
11,8,2007,27.81,6.72,2.31
12,8,2007,127.34,21.27,21.13
