idates,imonths,iyears,obs,meanmod,stdmod
21,6,2007,0.0,13.88,2.03
25,6,2007,4.45,14.02,2.81
26,6,2007,37.13,30.35,12.56
27,6,2007,68.39,21.21,4.54
28,6,2007,20.39,32.42,11.02
29,6,2007,17.07,65.8,40.49
3,7,2007,0.0,0.72,0.52
4,7,2007,0.0,0.2,0.23
5,7,2007,0.58,3.7,1.37
6,7,2007,0.0,38.34,29.29
7,7,2007,14.15,8.1,3.33
8,7,2007,1.26,0.5,0.38
9,7,2007,4.48,1.42,0.85
10,7,2007,9.72,6.63,1.45
11,7,2007,0.0,7.58,1.69
12,7,2007,0.0,9.56,1.53
13,7,2007,22.14,15.65,3.06
14,7,2007,52.72,72.8,58.54
15,7,2007,29.12,23.16,5.54
16,7,2007,45.24,4.28,1.74
17,7,2007,1.17,3.91,0.97
18,7,2007,2.52,2.22,0.84
19,7,2007,1.68,4.73,1.35
20,7,2007,3.82,13.59,2.9
21,7,2007,10.31,4.02,1.42
22,7,2007,1.05,8.89,2.1
23,7,2007,5.44,6.78,1.62
24,7,2007,0.0,7.4,1.72
25,7,2007,0.0,8.74,1.35
26,7,2007,0.0,13.43,3.26
27,7,2007,0.0,17.97,4.13
28,7,2007,1.47,16.41,6.32
29,7,2007,0.0,7.44,2.69
30,7,2007,3.03,9.58,2.02
31,7,2007,0.0,9.67,1.22
1,8,2007,0.0,14.46,5.88
2,8,2007,8.88,13.51,4.48
3,8,2007,5.12,13.7,3.44
4,8,2007,0.72,6.64,1.47
5,8,2007,0.0,22.96,9.65
6,8,2007,93.74,58.92,18.52
7,8,2007,130.81,4.07,1.4
8,8,2007,1.47,0.41,0.33
9,8,2007,0.0,3.68,0.79
10,8,2007,0.0,19.35,3.97
11,8,2007,27.81,39.86,14.35
12,8,2007,127.34,15.99,8.23
13,8,2007,43.87,28.85,6.42
14,8,2007,5.37,6.42,0.99
15,8,2007,0.0,0.46,0.29
16,8,2007,0.3,1.52,0.53
17,8,2007,0.0,3.18,1.26
18,8,2007,0.0,5.77,1.94
19,8,2007,1.71,7.07,1.79
20,8,2007,0.0,15.69,5.07
21,8,2007,0.93,5.07,2.09
22,8,2007,1.17,7.81,1.9
23,8,2007,6.02,8.41,1.61
24,8,2007,0.0,9.06,1.94
25,8,2007,0.0,5.58,0.95
26,8,2007,0.0,8.05,3.0
27,8,2007,0.0,8.51,2.28
28,8,2007,5.25,13.11,2.15
29,8,2007,0.0,6.94,1.36
30,8,2007,3.88,12.3,2.72
31,8,2007,0.0,12.5,3.61
1,9,2007,8.91,13.35,3.46
2,9,2007,1.79,10.87,2.09
3,9,2007,9.07,5.11,4.34
4,9,2007,12.31,16.3,5.6
5,9,2007,4.12,10.83,3.3
6,9,2007,16.38,39.89,23.41
7,9,2007,20.77,2.83,0.85
8,9,2007,0.32,10.28,4.11
9,9,2007,31.84,9.1,1.52
10,9,2007,13.72,6.48,1.04
11,9,2007,3.13,0.82,0.69
12,9,2007,2.86,6.28,1.01
13,9,2007,17.96,6.42,1.12
14,9,2007,12.47,10.4,1.39
15,9,2007,6.62,12.9,1.49
16,9,2007,2.82,8.2,1.3
17,9,2007,0.0,4.07,1.07
18,9,2007,1.77,8.24,1.11
19,9,2007,5.25,3.64,1.19
20,9,2007,0.0,12.22,1.97
21,9,2007,8.31,16.26,3.65
22,9,2007,20.17,24.34,8.37
23,9,2007,31.55,35.49,15.5
24,9,2007,27.4,6.07,1.36
25,9,2007,0.0,8.79,2.45
26,9,2007,0.0,18.16,18.61
27,9,2007,29.88,7.57,1.21
28,9,2007,0.0,1.41,1.52
29,9,2007,0.0,8.33,2.32
30,9,2007,7.57,14.75,2.68
1,10,2007,0.84,14.23,5.17
2,10,2007,3.88,18.09,3.68
3,10,2007,5.95,13.16,1.78
4,10,2007,15.91,10.21,1.8
5,10,2007,1.17,4.01,1.69
6,10,2007,10.62,17.42,6.88
7,10,2007,1.99,10.86,0.99
8,10,2007,1.04,0.0,0.0
9,10,2007,0.0,0.12,0.08
10,10,2007,0.0,0.0,0.0
11,10,2007,0.0,0.24,0.05
12,10,2007,0.0,0.0,0.0
13,10,2007,0.0,0.0,0.0
14,10,2007,0.0,0.0,0.0
15,10,2007,0.0,0.0,0.0
16,10,2007,0.0,0.0,0.01
17,10,2007,0.0,3.32,2.29
18,10,2007,0.0,7.15,0.97
19,10,2007,0.0,2.77,0.89
